gene_symbol_mouse,number_tissues_cycling,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Rxfp4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
S100pbp,1,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Scrn2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Sgpp2,2,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,14,NULL,NULL
Syt14,3,20,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,11,NULL,NULL
Tbc1d23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6
Tbc1d24,3,NULL,NULL,NULL,NULL,NULL,22,9,NULL,12,NULL,NULL,NULL
Tbc1d2b,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,12,NULL,NULL
Tex9,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
Tfeb,3,NULL,13,NULL,NULL,NULL,NULL,NULL,15,NULL,14,NULL,NULL
Thnsl1,1,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tm2d2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Tm6sf2,2,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Tm9sf1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Tmco7,1,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tmem107,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Tmem141,3,NULL,NULL,8,7,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Tmem14a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Tmem160,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,11,NULL,NULL
Tmem170,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,18,NULL,NULL
Tmem177,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Tmem178,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Tmem19,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,23,NULL,NULL,NULL
Tmem194,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Tmem214,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,17,13,NULL,NULL
Tmem41a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Tmem56,2,NULL,NULL,5,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Tmem63b,3,NULL,NULL,12,NULL,NULL,NULL,NULL,10,NULL,10,NULL,NULL
Top1mt,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Trappc2l,3,NULL,6,NULL,NULL,8,NULL,NULL,11,NULL,NULL,NULL,NULL
Trim41,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,17,NULL,NULL,NULL
Lrrc28,2,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Lrrc57,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,14,NULL,NULL
Lrrc58,6,20,20,21,NULL,NULL,18,NULL,14,19,NULL,NULL,NULL
Lsm12,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
Lysmd2,1,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Micalcl,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,22,NULL,NULL,NULL
Ms4a8a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
Mtfmt,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Mustn1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,1,7,NULL,NULL
Myo19,2,10,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Myo1h,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Myo3b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Mzt1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
Zc3h12c,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Zdhhc18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Zdhhc23,2,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL
Zer1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Zfp39,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL
Zfp449,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,23,NULL,NULL,NULL
Zfp568,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Zfp629,1,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Zfp672,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL,NULL
Zfp708,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
Zfp740,2,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
Zfp867,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL
Zpbp2,1,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ttc9,1,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Txndc2,1,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ubfd1,2,NULL,NULL,NULL,NULL,23,NULL,NULL,21,NULL,NULL,NULL,NULL
Uhrf1bp1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14
Usp49,3,NULL,6,5,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Vamp5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Vwce,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Wdr81,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,10,NULL,9
Wdsub1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Wipf3,4,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,8,14,13,NULL
Xrcc6bp1,1,NULL,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yif1b,2,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Zbtb41,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Prelid2,1,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prrg4,1,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pyroxd1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,3,NULL,NULL,NULL
Rab39,1,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL
Nbeal2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,19,NULL,NULL,NULL
Necab1,2,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,1,NULL,NULL,NULL
Nhlrc2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,11,NULL,NULL
Ninj2,3,NULL,NULL,NULL,6,8,NULL,7,NULL,NULL,NULL,NULL,NULL
Nsun6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Oaf,4,8,6,5,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
Ogfod1,3,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,17,14,NULL,NULL
Dnahc7a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL
Dnahc7b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Dok6,2,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8
Dus4l,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,22,NULL,NULL,NULL
Echdc2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Eepd1,2,7,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Ell3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL
Elmo3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Emr4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Engase,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
Eps8l2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,1,NULL,NULL,NULL
Eri2,1,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fam101b,7,NULL,2,1,NULL,NULL,23,NULL,0,NULL,0,1,2
Fam117b,3,NULL,NULL,NULL,NULL,NULL,12,8,NULL,NULL,11,NULL,NULL
Fam155a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
Fam179b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Fam195a,3,NULL,NULL,NULL,NULL,NULL,20,NULL,12,17,NULL,NULL,NULL
Fam43a,1,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL
Fam73b,6,NULL,10,11,NULL,NULL,21,NULL,NULL,17,23,22,NULL
Fam76a,6,10,12,12,NULL,NULL,NULL,NULL,NULL,NULL,12,12,11
0610007P08Rik,3,20,NULL,21,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
0610037L13Rik,1,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1190005I06Rik,1,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1600029D21Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL
1810019J16Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
1810030O07Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
1810055G02Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
2310036O22Rik,2,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
2810453I06Rik,4,NULL,NULL,22,21,NULL,0,NULL,22,NULL,NULL,NULL,NULL
4930432K21Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
4931414P19Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL
5430435G22Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
5730559C18Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Abca13,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL,NULL
Accs,3,NULL,NULL,NULL,NULL,NULL,NULL,5,7,NULL,NULL,NULL,9
Acoxl,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
Acsf3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,2,NULL,NULL,NULL
Adamtsl5,3,NULL,15,NULL,NULL,NULL,20,NULL,NULL,NULL,14,NULL,NULL
Adat1,1,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Adck5,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,1,NULL,NULL,NULL
Fbxl15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Fbxl21,4,23,NULL,NULL,NULL,NULL,NULL,NULL,8,1,NULL,NULL,7
Fibin,5,NULL,13,NULL,16,16,13,NULL,NULL,NULL,15,NULL,NULL
Fitm2,1,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Flrt1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Frmd5,1,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Frmpd1,1,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Galntl1,2,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,23,NULL,NULL
Gmeb2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Gpbp1l1,1,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gpr137,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Gpr146,6,7,8,NULL,6,NULL,9,NULL,NULL,8,10,NULL,NULL
Gpr18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Gramd2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Gtdc1,1,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gtpbp8,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,22,NULL,NULL,NULL
Haghl,2,NULL,NULL,NULL,NULL,10,NULL,6,NULL,NULL,NULL,NULL,NULL
Hdhd3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Heca,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,7,NULL,NULL,NULL
Heg1,2,NULL,NULL,8,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL
Hint3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,20,NULL,NULL
Hist1h4h,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Hkdc1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL
Hs3st5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL
Cmtm7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
Cnksr3,2,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Crebl2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,12,18,NULL,NULL
Cuedc1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Cyp2b9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Cyp2g1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
D430042O09Rik,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,2,NULL,NULL,NULL
Dchs1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Ddx39,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Dennd4b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
AI597479,1,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ajap1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Angel1,2,NULL,NULL,NULL,NULL,NULL,NULL,6,6,NULL,NULL,NULL,NULL
Ankmy2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,23,NULL,2,NULL
Ano3,1,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arhgap23,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Arhgap27,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL
Asxl3,5,NULL,NULL,1,2,4,NULL,NULL,23,NULL,0,NULL,NULL
Athl1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,6,NULL,NULL
B630005N14Rik,2,NULL,NULL,NULL,NULL,22,NULL,NULL,22,NULL,NULL,NULL,NULL
Bco2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
C130074G19Rik,1,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
C77080,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL
Calml4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Camk2n1,2,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,13,NULL,NULL,NULL
Cass4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
Ccdc135,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Cd164l2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Cdadc1,3,NULL,NULL,NULL,21,NULL,NULL,22,NULL,NULL,18,NULL,NULL
Cdh19,4,15,NULL,NULL,17,NULL,15,16,NULL,NULL,NULL,NULL,NULL
Cdh20,2,NULL,NULL,NULL,23,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
Cecr6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
C1ql3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Ccdc111,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Ccdc21,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Ccdc77,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL
Ccdc85a,5,14,NULL,13,20,NULL,NULL,17,NULL,NULL,13,NULL,NULL
Cetn4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
Fbrsl1,1,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fdxacb1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,0,NULL,NULL,NULL
Fhdc1,1,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gimap5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Glb1l2,2,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
Glb1l3,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,15
Gm16515,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Dhrs11,4,NULL,NULL,NULL,NULL,NULL,14,8,19,22,NULL,NULL,NULL
Dusp15,2,NULL,NULL,NULL,0,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
Echdc3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Eml5,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,6,NULL,NULL,10
Fam108c,2,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,3,NULL,NULL,NULL
Fam116b,3,5,NULL,NULL,NULL,NULL,NULL,9,NULL,23,NULL,NULL,NULL
Fam120c,4,NULL,0,0,NULL,NULL,NULL,NULL,NULL,22,20,NULL,NULL
Fam149b,2,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,22,NULL,NULL,NULL
Fam161b,2,18,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,NULL,NULL,NULL
Fam163a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Fam171b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Fam173b,3,NULL,NULL,NULL,21,NULL,NULL,21,20,NULL,NULL,NULL,NULL
Fam188b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8
Fam20a,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL
Fam45a,4,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,23,20,NULL,23
Fam63b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
0610010F05Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
1110038D17Rik,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,22,NULL,NULL,NULL
1600014C10Rik,3,8,NULL,NULL,NULL,NULL,NULL,NULL,9,8,NULL,NULL,NULL
1700084C01Rik,2,NULL,NULL,NULL,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL
1810013D10Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL
1810041L15Rik,1,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2210009G21Rik,3,NULL,NULL,NULL,22,NULL,NULL,NULL,21,20,NULL,NULL,NULL
2310030G06Rik,2,NULL,19,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL
2610019F03Rik,2,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10
2610528J11Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
4921524J17Rik,2,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL
4930523C07Rik,2,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,12,NULL,NULL
4933403F05Rik,2,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
5430427O19Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5
5730469M10Rik,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
5730508B09Rik,1,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9530077C05Rik,1,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AA986860,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Acmsd,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,20,NULL,NULL,NULL
Afap1l1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
Agxt2l2,1,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL
AI316807,7,NULL,7,9,NULL,NULL,11,6,6,5,NULL,NULL,9
Akr1c14,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,16,NULL,NULL
Amdhd1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Amdhd2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,12,10,NULL,NULL
Aph1c,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Arhgap30,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL
Arl10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL,NULL
Arsk,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
Asb11,1,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL
Atp13a4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL
AU021092,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Avl9,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
BC031181,3,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,22,18,NULL,NULL
Gpatch1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL
Gprin3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7,22,NULL,NULL
Higd2a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Ifi47,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Coro6,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,6,NULL,NULL
Cyb5d2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
Cyp4f15,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Cytl1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL
D14Abb1e,1,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL
D17H6S53E,2,NULL,8,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
D3Ertd751e,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
D6Wsu163e,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,22,NULL,NULL,NULL
D9Ertd402e,1,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dalrd3,2,1,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dennd1c,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
N6amt2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Naprt1,2,6,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Nradd,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Nudt18,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL
Lrit1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Lrrc8b,3,NULL,6,NULL,NULL,NULL,NULL,8,8,NULL,NULL,NULL,NULL
