"","x"
"1305","PLAC8"
"1306","NGRN"
"1307","EFEMP2"
"1308","RAB3IP"
"1309","NDE1"
"1310","PI4K2B"
"1311","APBB1IP"
"1312","MEPCE"
"1313","SMYD2"
"1314","TULP4"
"1315","RHBDD2"
"1316","PKNOX2"
"1317","XYLT1"
"1318","SIL1"
"1319","DEPTOR"
"1320","EFHD2"
"1321","C12orf49"
"1322","WWC2"
"1323","FRMD8"
"1324","PINK1"
"1325","TTL"
"1326","ZMYND8"
"1327","SPATA24"
"1328","ARHGAP24"
"1329","TBC1D10A"
"1330","ORAI2"
"1331","ATP5J2-PTCD1"
"1332","LCLAT1"
"1333","WFDC8"
"1334","PXDN"
"1335","HEATR1"
"1336","GPR133"
"1337","LONRF1"
"1338","C12orf65"
"1339","RASAL2"
"1340","LIN9"
"1341","ARSJ"
"1342","ZCCHC11"
"1343","METTL4"
"1344","TET3"
"1345","CPM"
"1346","ZC3H12C"
"1347","PNMAL2"
"1348","CES1"
"1349","FKBP4"
"1350","SPN"
"1351","ANXA7"
"1352","S100G"
"1353","CTSH"
"1354","NNAT"
"1355","SH2B3"
"1356","IGSF6"
"1357","LRRN3"
"1358","TIMP3"
"1359","NAT6"
"1360","MYO10"
"1361","ARHGAP26"
"1362","SIGIRR"
"1363","TMBIM1"
"1364","TMEM204"
"1365","TMC7"
"1366","TRABD"
"1367","LRG1"
"1368","GPR146"
"1369","PPM1K"
"1370","RBM47"
"1371","TENC1"
"1372","FILIP1L"
"1373","CBS"
